date,advertiser,campaign,partner,type,placement_type,impressions,clicks,media_cost,video_plays,video_completes,threshold,flight_start,flight_end,in_flight,spend_in_flight,cumulative_spend_raw,cumulative_spend_capped,media_cost_adjusted,threshold_crossed
2025-03-10,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,12,0,0.3468,12,7,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.3468,NA
2025-03-10,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,39557,42,421.360689316,39484,18833,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,421.360689316,NA
2025-03-11,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,24,0,0.6936,24,14,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.6936,NA
2025-03-11,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,226986,283,2417.852148168,226619,101903,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2417.852148168,NA
2025-03-12,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,234212,299,2494.823413456,233781,107047,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2494.823413456,NA
2025-03-13,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,31,3,0.8959,31,21,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.8959,NA
2025-03-13,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,219606,226,2339.240476728,219136,100737,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2339.240476728,NA
2025-03-14,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,31210,11,901.969,31208,30057,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,901.969,NA
2025-03-14,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,207613,266,2211.491184644,207185,95738,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2211.491184644,NA
2025-03-15,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,46018,0,1329.9202,46016,45004,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1329.9202,NA
2025-03-15,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,212213,287,2260.490329444,211816,97751,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2260.490329444,NA
2025-03-16,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,42596,0,1231.0244,42594,41576,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1231.0244,NA
2025-03-16,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,224990,257,2396.59078012,224593,108479,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2396.59078012,NA
2025-03-17,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,38454,0,1111.3206,38451,37490,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1111.3206,NA
2025-03-17,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,179460,233,1911.60576648,179053,89525,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1911.60576648,NA
2025-03-18,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,37626,0,1087.3914,37627,36536,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1087.3914,NA
2025-03-18,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,172102,246,1833.228438776,171703,80035,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1833.228438776,NA
2025-03-19,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,38089,0,1100.7721000000001,38088,37071,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1100.7721000000001,NA
2025-03-19,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,155280,155,1654.04069664,154939,73625,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1654.04069664,NA
2025-03-20,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,43891,0,1268.4499,43888,42827,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1268.4499,NA
2025-03-20,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,262694,234,2798.213335672,262195,129772,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2798.213335672,NA
2025-03-21,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,36867,1,1065.4562999999998,36865,35997,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1065.4562999999998,NA
2025-03-21,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,238189,193,2537.186369732,237717,120913,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2537.186369732,NA
2025-03-22,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,42025,0,1214.5225,42025,41025,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1214.5225,NA
2025-03-22,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,240935,215,2566.43672878,240570,122250,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2566.43672878,NA
2025-03-23,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,41814,0,1208.4246,41811,40947,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1208.4246,NA
2025-03-23,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,254466,223,2710.568778408,254192,132653,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,2710.568778408,NA
2025-03-24,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,33693,0,973.7276999999999,33692,32869,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,973.7276999999999,NA
2025-03-24,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,63751,41,679.074886988,63641,30484,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,679.074886988,NA
2025-03-25,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,34049,0,984.0160999999999,34046,33177,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,984.0160999999999,NA
2025-03-25,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,26,2,0.276951688,22,11,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.276951688,NA
2025-03-26,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,29195,0,843.7355,29194,28554,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,843.7355,NA
2025-03-26,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,31,3,0.330211628,31,19,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.330211628,NA
2025-03-27,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,26909,0,777.6701,26907,26323,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,777.6701,NA
2025-03-27,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,10,0,0.10651988,10,7,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.10651988,NA
2025-03-28,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,35258,0,1018.9562,35254,34393,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,1018.9562,NA
2025-03-28,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,5,0,0.05325994,5,4,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.05325994,NA
2025-03-29,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,33306,0,962.5434,33304,32585,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,962.5434,NA
2025-03-29,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,6,0,0.063911928,6,4,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.063911928,NA
2025-03-30,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,32490,0,938.961,32487,31834,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,938.961,NA
2025-03-30,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,4,0,0.042607952,4,3,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.042607952,NA
2025-03-31,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,CTV,NA,25816,0,746.0824,25812,25344,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,746.0824,NA
2025-03-31,KAWASAKI MOTORS CORP,FY25Q1_Kawasaki_NAV_Awareness_Brand,Amazon,OLV,NA,4,0,0.042607952,4,3,NA,2025-03-10,2025-03-31,NA,NA,NA,NA,0.042607952,NA
